[2021-02-04 15:21:18] | DEBUG |  | Line:79
[2021-02-04 15:21:19] | DEBUG | 1;2;3; | Line:74
[2021-02-04 15:21:19] | DEBUG | 1 | Line:79
[2021-02-04 15:21:19] | DEBUG | 2 | Line:79
[2021-02-04 15:21:19] | DEBUG | 3 | Line:79
[2021-02-04 15:21:19] | DEBUG |  | Line:79
[2021-02-04 15:21:20] | DEBUG | Sending stop | Line:113
[2021-02-04 15:21:20] | DEBUG | task canceled | Line:66
[2021-02-04 15:22:12] | DEBUG | Sending stop | Line:109
[2021-02-04 15:22:13] | DEBUG | task canceled | Line:62
[2021-02-04 15:22:22] | DEBUG | 1;2;3; | Line:70
[2021-02-04 15:22:22] | DEBUG | 1 | Line:75
[2021-02-04 15:22:22] | DEBUG | 2 | Line:75
[2021-02-04 15:22:22] | DEBUG | 3 | Line:75
[2021-02-04 15:22:22] | DEBUG |  | Line:75
[2021-02-04 15:22:22] | DEBUG | <1' 2' 3> | Line:79
[2021-02-04 15:22:23] | DEBUG | 1;2;3; | Line:70
[2021-02-04 15:22:23] | DEBUG | 1 | Line:75
[2021-02-04 15:22:23] | DEBUG | 2 | Line:75
[2021-02-04 15:22:23] | DEBUG | 3 | Line:75
[2021-02-04 15:22:23] | DEBUG |  | Line:75
[2021-02-04 15:22:23] | DEBUG | <1' 2' 3> | Line:79
[2021-02-04 15:22:24] | DEBUG | 1;2;3; | Line:70
[2021-02-04 15:22:24] | DEBUG | 1 | Line:75
[2021-02-04 15:22:24] | DEBUG | 2 | Line:75
[2021-02-04 15:22:24] | DEBUG | 3 | Line:75
[2021-02-04 15:22:24] | DEBUG |  | Line:75
[2021-02-04 15:22:24] | DEBUG | <1' 2' 3> | Line:79
[2021-02-04 15:22:25] | DEBUG | 1;2;3; | Line:70
[2021-02-04 15:22:25] | DEBUG | 1 | Line:75
[2021-02-04 15:22:25] | DEBUG | 2 | Line:75
[2021-02-04 15:22:25] | DEBUG | 3 | Line:75
[2021-02-04 15:22:25] | DEBUG |  | Line:75
[2021-02-04 15:22:25] | DEBUG | <1' 2' 3> | Line:79
[2021-02-04 15:22:26] | DEBUG | 1;2;3; | Line:70
[2021-02-04 15:22:26] | DEBUG | 1 | Line:75
[2021-02-04 15:22:26] | DEBUG | 2 | Line:75
[2021-02-04 15:22:26] | DEBUG | 3 | Line:75
[2021-02-04 15:22:26] | DEBUG |  | Line:75
[2021-02-04 15:22:26] | DEBUG | <1' 2' 3> | Line:79
[2021-02-04 15:22:27] | DEBUG | Sending stop | Line:109
[2021-02-04 15:22:27] | DEBUG | task canceled | Line:62
[2021-02-04 15:23:23] | DEBUG | 100;100;100; | Line:70
[2021-02-04 15:23:23] | DEBUG | 100 | Line:75
[2021-02-04 15:23:23] | DEBUG | 100 | Line:75
[2021-02-04 15:23:23] | DEBUG | 100 | Line:75
[2021-02-04 15:23:23] | DEBUG |  | Line:75
[2021-02-04 15:23:23] | DEBUG | <100' 100' 100> | Line:79
[2021-02-04 15:23:24] | DEBUG | 100;100;100; | Line:70
[2021-02-04 15:23:24] | DEBUG | 100 | Line:75
[2021-02-04 15:23:24] | DEBUG | 100 | Line:75
[2021-02-04 15:23:24] | DEBUG | 100 | Line:75
[2021-02-04 15:23:24] | DEBUG |  | Line:75
[2021-02-04 15:23:24] | DEBUG | <100' 100' 100> | Line:79
[2021-02-04 15:23:25] | DEBUG | 100;100;100; | Line:70
[2021-02-04 15:23:25] | DEBUG | 100 | Line:75
[2021-02-04 15:23:25] | DEBUG | 100 | Line:75
[2021-02-04 15:23:25] | DEBUG | 100 | Line:75
[2021-02-04 15:23:25] | DEBUG |  | Line:75
[2021-02-04 15:23:25] | DEBUG | <100' 100' 100> | Line:79
[2021-02-04 15:23:26] | DEBUG | 100;100;100; | Line:70
[2021-02-04 15:23:26] | DEBUG | 100 | Line:75
[2021-02-04 15:23:26] | DEBUG | 100 | Line:75
[2021-02-04 15:23:26] | DEBUG | 100 | Line:75
[2021-02-04 15:23:26] | DEBUG |  | Line:75
[2021-02-04 15:23:26] | DEBUG | <100' 100' 100> | Line:79
[2021-02-04 15:23:27] | DEBUG | 100;100;100; | Line:70
[2021-02-04 15:23:27] | DEBUG | 100 | Line:75
[2021-02-04 15:23:27] | DEBUG | 100 | Line:75
[2021-02-04 15:23:27] | DEBUG | 100 | Line:75
[2021-02-04 15:23:27] | DEBUG |  | Line:75
[2021-02-04 15:23:27] | DEBUG | <100' 100' 100> | Line:79
[2021-02-04 15:23:28] | DEBUG | Sending stop | Line:109
[2021-02-04 15:23:28] | DEBUG | task canceled | Line:62
[2021-02-04 15:23:43] | DEBUG | 100;100;100 | Line:70
[2021-02-04 15:23:43] | DEBUG | 100 | Line:75
[2021-02-04 15:23:43] | DEBUG | 100 | Line:75
[2021-02-04 15:23:43] | DEBUG | 100 | Line:75
[2021-02-04 15:23:43] | DEBUG | <100' 100' 100> | Line:79
[2021-02-04 15:23:44] | DEBUG | 100;100;100 | Line:70
[2021-02-04 15:23:44] | DEBUG | 100 | Line:75
[2021-02-04 15:23:44] | DEBUG | 100 | Line:75
[2021-02-04 15:23:44] | DEBUG | 100 | Line:75
[2021-02-04 15:23:44] | DEBUG | <100' 100' 100> | Line:79
[2021-02-04 15:23:45] | DEBUG | 100;100;100 | Line:70
[2021-02-04 15:23:45] | DEBUG | 100 | Line:75
[2021-02-04 15:23:45] | DEBUG | 100 | Line:75
[2021-02-04 15:23:45] | DEBUG | 100 | Line:75
[2021-02-04 15:23:45] | DEBUG | <100' 100' 100> | Line:79
[2021-02-04 15:23:46] | DEBUG | 100;100;100 | Line:70
[2021-02-04 15:23:46] | DEBUG | 100 | Line:75
[2021-02-04 15:23:46] | DEBUG | 100 | Line:75
[2021-02-04 15:23:46] | DEBUG | 100 | Line:75
[2021-02-04 15:23:46] | DEBUG | <100' 100' 100> | Line:79
[2021-02-04 15:23:47] | DEBUG | 100;100;100 | Line:70
[2021-02-04 15:23:47] | DEBUG | 100 | Line:75
[2021-02-04 15:23:47] | DEBUG | 100 | Line:75
[2021-02-04 15:23:47] | DEBUG | 100 | Line:75
[2021-02-04 15:23:47] | DEBUG | <100' 100' 100> | Line:79
[2021-02-04 15:23:48] | DEBUG | Sending stop | Line:109
[2021-02-04 15:23:48] | DEBUG | task canceled | Line:62
[2021-02-04 15:25:09] | DEBUG | 100;100;100 | Line:70
[2021-02-04 15:25:09] | DEBUG | <x:100;y:100;z:100> | Line:75
[2021-02-04 15:25:10] | DEBUG | 100;100;100 | Line:70
[2021-02-04 15:25:10] | DEBUG | <x:100;y:100;z:100> | Line:75
[2021-02-04 15:25:11] | DEBUG | 100;100;100 | Line:70
[2021-02-04 15:25:11] | DEBUG | <x:100;y:100;z:100> | Line:75
[2021-02-04 15:25:12] | DEBUG | 100;100;100 | Line:70
[2021-02-04 15:25:12] | DEBUG | <x:100;y:100;z:100> | Line:75
[2021-02-04 15:25:13] | DEBUG | 100;100;100 | Line:70
[2021-02-04 15:25:13] | DEBUG | <x:100;y:100;z:100> | Line:75
[2021-02-04 15:25:13] | DEBUG | Sending stop | Line:105
[2021-02-04 15:25:13] | DEBUG | task canceled | Line:62
[2021-02-04 15:25:25] | DEBUG | 100;100;100 | Line:70
[2021-02-04 15:25:25] | DEBUG | <x:100; y:100; z:100> | Line:75
[2021-02-04 15:25:26] | DEBUG | 100;100;100 | Line:70
[2021-02-04 15:25:26] | DEBUG | <x:100; y:100; z:100> | Line:75
[2021-02-04 15:25:27] | DEBUG | 100;100;100 | Line:70
[2021-02-04 15:25:27] | DEBUG | <x:100; y:100; z:100> | Line:75
[2021-02-04 15:25:28] | DEBUG | 100;100;100 | Line:70
[2021-02-04 15:25:28] | DEBUG | <x:100; y:100; z:100> | Line:75
[2021-02-04 15:25:29] | DEBUG | 100;100;100 | Line:70
